№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
245,3,Шашны дурсгалт газар,Сумийн туурь,Monastery Riun,Дундговь,Dundgovi,Дэлгэрцогт,Delgertsogt,46.20114,106.03453,Дэлгэрцогт сумын төвөөс баруун зүгт 28.6 км зайтай оршино.,It is located 28.6 km west of the center of Delgertsogt soum.,,수도원 리운,リウン修道院,留恩寺,Монастырь Риун,Delgertsogt soum 중심에서 서쪽으로 28.6km 떨어져 있습니다.,デルゲルツォグト・ソムの中心部から西​​に28.6kmに位置しています。,它位于德尔格特索格特苏姆中心以西28.6公里处。,"Он расположен в 28,6 км к западу от центра сума Дельгерцогт."
246,1,Байгалийн үзэсгэлэнт газар,Тоонот агуй,Toonot Cave,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,45.74232,107.21945,Гурвансайхан сумын төвөөс зүүн хойд зүгт 31 км зайтай оршино.,It is located 31 km northeast of the center of Gurvansaikhan soum.,https://www.dropbox.com/scl/fi/gslh8pvlxlr9exu95h5d9/.jpg?rlkey=7mf6g3wa2lv9rzply8uq8i9xp&raw=1,투놋 동굴,トゥーノット洞窟,图诺特洞穴,Пещера Тунот,Gurvansaikhan soum 중심에서 북동쪽으로 31km 떨어져 있습니다.,グルバンサイカン・ソムの中心部から北東31kmに位置しています。,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,Расположен в 31 км к северо-востоку от центра сомона Гурвансайхан.
247,1,Байгалийн үзэсгэлэнт газар,Умбын цагаан нуур,Umbiin Tsagaan Lake,Дундговь,Dundgovi,Цагаандэлгэр,Tsagaandelger,46.693,107.907,Цагаандэлгэр сумын төвөөс зүүн хойд зүгт 46.5 км зайтай оршино.,It is located 46.5 km northeast of the center of Tsagaandelger soum.,https://www.dropbox.com/scl/fi/tstjcinze3d2wnoz1r807/.jpg?rlkey=k1sn14awlj8ecleljvrzvomnx&raw=1,움비인 차강 호수,ウンビン・ツァガーン湖,翁比因查干湖,Озеро Умбиин Цагаан,Tsagaandelger 호수에서 북동쪽으로 46.5km 떨어져 있습니다.,ツァガーンデルガー湖の北東 46.5 km に位置します。,位于察甘德尔格尔湖东北46.5公里处。,"Он расположен в 46,5 км к северо-востоку от озера Цагаандельгер."
248,1,Байгалийн үзэсгэлэнт газар,Хур харцагын тагт,Khur Khartsagyn Tagt,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,45.74389,107.21742,Гурвансайхан сумын төвөөс зүүн хойд зүгт 31 км зайтай оршино.,It is located 31 km northeast of the center of Gurvansaikhan soum.,https://www.dropbox.com/scl/fi/3df5brymmjzsxxxgk0nn8/.jpg?rlkey=so508zfegb6zpjlopoqxza45j&raw=1,쿠르 카르차긴 타그트,クール・ハルツァギン・タグト,库尔·哈察金·塔格特,Хур Харцагын Тагт,Gurvansaikhan soum 중심에서 북동쪽으로 31km 떨어져 있습니다.,グルバンサイカン・ソムの中心部から北東31kmに位置しています。,它位于Gurvansaikhan soum中心东北31公里处。,Расположен в 31 км к северо-востоку от центра сомона Гурвансайхан.
249,1,Байгалийн үзэсгэлэнт газар,Цагаан суварга,Tsagaan Suvarga,Дундговь,Dundgovi,Өлзийт,Ulziit,44.58982,105.78613,Өлзийт сумын төвөөс баруун өмнө зүгт  67.4 км зайтай оршино.,It is located 67.4 km southwest of the center of Ulziit soum.,https://www.dropbox.com/scl/fi/0djk4s8uwk8849h08cm2z/.jpeg?rlkey=13du2i1jukd8ein3anyjmzw9m&raw=1,차가안 수바르가,ツァガーン・スヴァルガ,查甘·苏瓦尔加,Цагаан Суварга,Ulziit soum 중심에서 남서쪽으로 67.4km 떨어져 있습니다.,ウルジート・ソムの中心部から南西67.4kmに位置する。,它位于乌尔济特苏姆中心西南67.4公里处。,"Расположен в 67,4 км к юго-западу от центра сума Улзийт."
250,1,Байгалийн үзэсгэлэнт газар,Эхийн умай агуй,Ekhiin Umai Cave,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,45.74643,107.22528,Гурвансайхан сумын төвөөс зүүн хойд зүгт 32 км зайтай оршино.,It is located 32 km northeast of the center of Gurvansaikhan soum.,https://www.dropbox.com/scl/fi/fkkwmpums1xuswzop6eml/.jpg?rlkey=ifykfnizvlz4c6jt3ifarw0zp&raw=1,에키인 우마이 동굴,駅院うまい洞窟,埃克欣乌迈洞,Пещера Эхиин Умай,Gurvansaikhan soum 중심에서 북동쪽으로 32km 떨어져 있습니다.,グルバンサイカン・ソムの中心部から北東に 32 km に位置します。,它位于Gurvansaikhan soum中心东北32公里处。,Расположен в 32 км к северо-востоку от центра сомона Гурвансайхан.
251,3,Шашны дурсгалт газар,Онгийн хийд,Ongi Monastery,Дундговь,Dundgovi,Сайхан-Овоо,Saikhan-Ovoo,45.33988,104.00429,Сайхан-Овоо сумын төвөөс зүүн өмнө зүгт 17 км зайтай оршино.,It is located 17 km southeast of the center of Saikhan-Ovoo soum.,https://www.dropbox.com/scl/fi/h4q2fs7a32hqkmqqpsabo/.jpg?rlkey=mvrp4pk3ula72r8bsybwv6cth&raw=1,옹 수도원,オング寺院,翁寺,Монастырь Онги,Saikhan-Ovoo soum 중심에서 남동쪽으로 17km 떨어져 있습니다.,サイハン・オヴォー・スームの中心部から南東17kmに位置する。,它位于赛汗敖包苏姆中心东南17公里处。,Расположен в 17 км к юго-востоку от центра сума Сайхан-Овоо.
252,1,Байгалийн үзэсгэлэнт газар,Баянбулаг,Bayanbulag Spring,Дундговь,Dundgovi,Говь-Угтаал,Govi-Ugtaal,45.74105,107.36762,Говь-Угтаал сумын төвөөс баруун өмнө зүгт 42 км зайтай оршино.,It is located 42 km southwest of the center of Govi-Ugtaal soum.,https://www.dropbox.com/scl/fi/wpytmaj1a8teav6fis9dp/.jpg?rlkey=mwiw55k7pwh1deorh8851lhwq&raw=1,바얀불라그 샘,バヤンブラグの泉,巴彦布拉格泉,Источник Баянбулаг,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,它位于Govi-Ugtaal soum中心西南42公里处。,Расположен в 42 км к юго-западу от центра сума Гови-Угтаал.
253,1,Байгалийн үзэсгэлэнт газар,Бага нуур,Baga Lake,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,48.4217,95.95819,Улаагчийн хар нуураас баруун хойд зүгт 8 км зайтай оршино.,It is located 8 km northwest of Ulaagchig Black Lake.,https://www.dropbox.com/scl/fi/ix8tw03rh0ieyuxssu80v/.jpg?rlkey=yngqb4u4ljit2refulveypdmo&raw=1,바가 호수,バガ湖,巴加湖,Озеро Бага,Ulaagchig Black Lake에서 북서쪽으로 8km 떨어져 있습니다.,ウラーグチグ黒湖の北西 8 km に位置します。,位于乌拉齐黑湖西北8公里处。,Он расположен в 8 км к северо-западу от Черного озера Улаагчиг.
254,1,Байгалийн үзэсгэлэнт газар,Баян нуур (Завхан),Bayan Lake (Zavkhan),Завхан,Zavkhan,Сантмаргац,Santmargats,48.45357,95.1251,"Нуурын өмнөд эрэг нь элсэрхэг тул илүүдэл ус үүгээр шүүгдэж, үүний ачаар цэнгэг устай байдаг ажээ. Баян нуур нь хэдийгээр бага талбайтай боловч Монголын цэнгэг уст нууруудаас эзлэхүүнээрээ 6-д жагсдаг Сантмаргац сумын төвөөс баруун урд зүгт 32 км зайтай оршино","The southern shore of the lake is sandy, which filters excess water, thereby providing it with fresh water. Bayan Lake, although small in area, is the sixth largest freshwater lake in Mongolia, located 32 km southwest of the center of Santmargats soum.",https://www.dropbox.com/scl/fi/k1zu1nu44nbp402dwo1fb/.jpg?rlkey=ebpoxls9coq0im0ewz9divo5f&raw=1,바얀 호수,バヤン湖,巴彦湖,Озеро Баян,호수의 남쪽 해안은 모래로 되어 있어 과도한 물을 걸러내어 신선한 물을 공급합니다. 바얀 호수(Bayan Lake)는 면적은 작지만 몽골에서 6번째로 큰 담수호로 산트마르가츠 솜(Santmargats soum) 중심에서 남서쪽으로 32km 떨어져 있습니다.,湖の南岸は砂地で、過剰な水を濾過して淡水が供給されます。バヤン湖は面積は小さいですが、モンゴルで 6 番目に大きい淡水湖で、サンマルガツ ソムの中心部から南西 32 km に位置しています。,湖南岸是沙质的，可以过滤多余的水，从而提供淡水。巴颜湖面积虽小，但却是蒙古国第六大淡水湖，位于桑特马尔加茨苏姆中心西南32公里处。,"Южный берег озера песчаный, который фильтрует лишнюю воду, тем самым обеспечивая ее пресной водой. Озеро Баян, хотя и небольшое по площади, является шестым по величине пресноводным озером Монголии, расположенным в 32 км к юго-западу от центра сума Сантмаргатс."
255,1,Байгалийн үзэсгэлэнт газар,Бор хярын элс,Sands of Bor Khyara,Завхан,Zavkhan,"Сантмаргац, Завханмандал","Santmargats, Zavkhanmandal",48.39068,94.99093,"Ургамал сумын араар зүүн тийш үргэлжлэн Хүнгийн голыг даган хөвөөлдөг бөгөөд Баруун Монгол, Зүүн Монгол хэмээх хоёр ихэр уулын өмнө талд оршдог. Элсэн манханы нийт урт 180 орчим километр үргэлжлэх бөгөөд Эрдэнэхайрхан сумын хойгуур гарч Яруу сумын нутаг хүртэл тэлнэ. ","It continues eastward behind Urgamal soum, following the Khung River, and lies in front of the twin mountains of West Mongolia and East Mongolia. The total length of the sand dunes is about 180 kilometers, extending from the outskirts of Erdenekhairkhan soum to the territory of Yaruu soum.",https://www.dropbox.com/scl/fi/cerez4dc04e696qmsrjas/.jpg?rlkey=f08lba58hne7lq8z1ypbzh0f6&raw=1,보르키아라의 모래,ボル・キヤラの砂,博尔·凯亚拉的沙子,Пески Бор Хяра,"쿵 강을 따라 우르가말 솜 뒤에서 동쪽으로 계속 이어지며, 서몽골과 동몽골의 쌍둥이 산 앞에 놓여 있습니다. 사구의 총 길이는 약 180km로, 에르데네카이르칸 솜 외곽에서 야루 솜 영토까지 이어집니다.",ウルガマル ソムの背後からクン川に沿って東へ続き、西モンゴルと東モンゴルの双子の山の前にあります。砂丘の全長は約180キロメートルで、エルデネハイルカン・ソム郊外からヤルー・ソムの領土まで広がっています。,它在乌尔加马尔苏姆之后继续向东，沿着洪河而行，位于西蒙古和东蒙古的双山前面。沙丘总长约180公里，从额尔登内海尔汗苏姆郊区一直延伸到亚鲁苏姆境内。,"Он продолжается на восток за сумомом Ургамал, вдоль реки Хунг и лежит перед горами-близнецами Западной Монголии и Восточной Монголии. Общая длина песчаных дюн составляет около 180 километров и простирается от окраины сомона Эрдэнехаирхан до территории сомона Яруу."
256,1,Байгалийн үзэсгэлэнт газар,Бүст нуур,Bust Lake,Завхан,Zavkhan,Тэлмэн,Telmen,49.13976,97.48426,Тэлмэн сумын төвөөс хойд зүгт 60 км зайтай оршино.,It is located 60 km north of the center of Telmen soum.,https://www.dropbox.com/scl/fi/fcr18g97wbkngwxy6j7pv/.jpg?rlkey=m9wwnthre2p1dcidc0uagwclk&raw=1,버스트 레이크,バストレイク,胸围湖,Бюст-Лейк,Telmen soum 중심에서 북쪽으로 60km 떨어져 있습니다.,テルメン・ソムの中心部から北に60kmに位置しています。,它位于泰尔门苏姆中心以北60公里处。,Он расположен в 60 км к северу от центра сума Тельмень.
257,1,Байгалийн үзэсгэлэнт газар,Дархан уул,Darkhan Mountain,Завхан,Zavkhan,Тосонцэнгэл,Tosontsengel,48.75248,98.25738,Далайн түвшнээс дээш 1871 метр өндөрт өргөгдсөн Дархан уулын зүүн хормойд Тосонцэнгэл сумын төв оршино.,"The center of Tosontsengel soum is located on the eastern slopes of Darkhan Mountain, which rises 1,871 meters above sea level.",https://www.dropbox.com/scl/fi/w3g0hraic6a6f8xe9uuj5/.jpg?rlkey=3e27f73gkmub7m1qynapc9hx2&raw=1,다르칸 산,ダルハン山,达尔汗山,Гора Дархан,"Tosontsengel soum의 중심은 해발 1,871m의 Darkhan 산의 동쪽 경사면에 위치하고 있습니다.","トソンツェンゲル スームの中心部は、海抜 1,871 メートルのダルハン山の東斜面に位置しています。","Tosontsengel soum的中心位于达尔汗山的东坡，海拔1,871米。","Центр сомона Тосонценгель расположен на восточных склонах горы Дархан, возвышающейся на 1871 метр над уровнем моря."
258,1,Байгалийн үзэсгэлэнт газар,Даян уул,Dayan Mountain,Завхан,Zavkhan,Алдархаан,Aldarkhaan,47.61931,97.31346,Алдархаан сумын нутэгт Хөх нуурын баруун хажууд байна. ,It is located on the west side of Lake Khokh in Aldarkhaan soum.,https://www.dropbox.com/scl/fi/3g4ad3nue95uheedtmf9s/.jpg?rlkey=n7e91u3m3o3o67jnh8jh0abmc&raw=1,다얀 산,大岩,达彦山,Гора Даян,Aldarkhaan soum의 Khokh 호수 서쪽에 위치하고 있습니다.,アルダークハーン・ソムのコク湖の西側に位置しています。,它位于Aldarkhaan soum 的Khokh 湖西侧。,Он расположен на западном берегу озера Хох в сумоне Алдархан.
259,1,Байгалийн үзэсгэлэнт газар,Богдын голын хүрхрээ,Bogd River Waterfall,Завхан,Zavkhan,Алдархаан,Aldarkhaan,47.68649,97.20851,Улиастай хотоос зүүн урд зүгт 35 км зайтай орших Богдын голын үзэсгэлэнт хүрхрээ.,"A beautiful waterfall on the Bogd River, located 35 km southeast of the city of Uliastai.",https://www.dropbox.com/scl/fi/0osegblqn0jcjrrcxcohj/.jpg?rlkey=b0xfnc6rma2ce63zqamdcbwhr&raw=1,보그드 강 폭포,ボグド川の滝,博格德河瀑布,Водопад на реке Богд,울리아스타이(Uliastai) 시에서 남동쪽으로 35km 떨어진 복드강(Bogd River)에 있는 아름다운 폭포입니다.,ウリアスタイ市の南東 35 km に位置するボグド川にある美しい滝。,博格德河上美丽的瀑布，位于乌利亚斯塔伊市东南 35 公里处。,"Красивый водопад на реке Богд, расположенный в 35 км к юго-востоку от города Улиастай."
260,2,Түүхийн дурсгалт газар,Богдын усан цахилгаан станц,Bogd Hydropower plant,Завхан,Zavkhan,Алдархаан,Aldarkhaan,47.68648,97.20733,Улиастай хотоос зүүн урд зүгт 35 км зайтай Богдын гол дээр байна.,"It is located on the Bogd River, 35 km southeast of the city of Uliastai.",https://www.dropbox.com/scl/fi/ec9uekp1jkbnmchbdtvtl/.jpg?rlkey=ktlie5w8em1gwktfyxle6w8el&raw=1,보그드 수력 발전소,ボグド水力発電所,博格德水电站,Гидроэлектростанция Богд,울리아스타이(Uliastai) 시에서 남동쪽으로 35km 떨어진 보그드 강(Bogd River)에 위치해 있습니다.,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,它位于博格德河畔，距乌里雅斯塔市东南35公里。,"Он расположен на реке Богд, в 35 км к юго-востоку от города Улиастай."
261,1,Байгалийн үзэсгэлэнт газар,Загастайн даваа,Zagastain Pass,Завхан,Zavkhan,Алдархаан,Aldarkhaan,48.071,97.167,"Энэ даваа нь далайн түвшнээс дээш 2500 метрийн өндөрт байх бөгөөд хамгийн хүнд хүнд, бэрхшээлтэй нөхцөлд тооцогддог.","This pass is at an altitude of 2,500 meters above sea level and is considered one of the most difficult and challenging.",https://www.dropbox.com/scl/fi/4ty0yf691twxljk6y64wu/.jpg?rlkey=ic73hh6wvdj3t84lorpbcuvg6&raw=1,자가스테인 고개,ザガステイン峠,扎加斯坦山口,Перевал Загастайн,"이 고개는 해발 2,500m 고도에 있으며 가장 어렵고 도전적인 고개 중 하나로 간주됩니다.","この峠は標高 2,500 メートルにあり、最も困難で挑戦的な峠の 1 つと考えられています。",这条山口海拔2500米，被认为是最困难和最具挑战性的山口之一。,Этот перевал находится на высоте 2500 метров над уровнем моря и считается одним из самых сложных и сложных.
262,3,Шашны дурсгалт газар,Яруугийн хүрээний туурь,"Ruins of the ""Yaruugi"" monastery",Завхан,Zavkhan,Алдархаан,Aldarkhaan,47.70123,96.62075,Улиастай хотоос баруун зүгт 17 км зайтай оршино.,It is located 17 km west of the city of Uliastai.,"https://www.dropbox.com/scl/fi/k9d2e350yr1wzfp9ilflw/.jpg?rlkey=1g0ab61obyh9j4dckzd5uzggi&raw=1,https://www.dropbox.com/scl/fi/shnv072fynfcp4c2hkxls/.jpg?rlkey=5isoebdiib1nvsepwzwdnumxw&raw=1","""야루기"" 수도원 유적",やるぎ寺の遺跡,亚鲁金寺遗址,Руины монастыря «Ярууги»,Uliastai시에서 서쪽으로 17km 떨어져 있습니다.,ウリヤスタイ市の西 17 km に位置します。,它位于乌利亚斯塔伊市以西17公里处。,Он расположен в 17 км к западу от города Улиастай.
263,1,Байгалийн үзэсгэлэнт газар,Их хайрхан уулын агуй,Ikh Khairkhan Mountain Cave,Завхан,Zavkhan,Завханмандал,Zavkhanmandal,47.95112,94.98887,Завханмандал сумын төвөөс баруун үрд зүгт 55 км зайтай оршино.,It is located 55 km southwest of the center of Zavkhanmandal soum.,,익 카이르칸 산 동굴,イク・ハイルカン山の洞窟,伊赫海尔汗山洞,Горная пещера Их Хайрхан,Zavkhanmandal soum 중심에서 남서쪽으로 55km 떨어져 있습니다.,ザブカンマンダル・ソムの中心部から南西に55kmに位置しています。,它位于Zavkhanmandal soum中心西南55公里处。,Расположен в 55 км к юго-западу от центра сума Завханмандал.
264,1,Байгалийн үзэсгэлэнт газар,Мухартын гол,Mukhartyn River,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,48.20992,95.94611,Эрдэнэхайрхан сумын төвөөс зүүн  хойд зүгт 30 км зайтай оршино.,It is located 30 km northeast of the center of Erdenekhairkhan soum.,https://www.dropbox.com/scl/fi/2we6099yw7x7g2pk6a0fv/.jpg?rlkey=7qu5pssw7nwrsqz6d2wliyan6&raw=1,무크하틴 강,ムカルティン川,穆哈廷河,Река Мухартын,Erdenekhairkhan Soum 중심에서 북동쪽으로 30km 떨어져 있습니다.,エルデネハイルカン・ソムの中心部から北東に 30 km に位置します。,它位于额尔登内海尔汗苏姆市中心东北30公里处。,Он расположен в 30 км к северо-востоку от центра Сума Эрдэнехайрхан.
265,1,Байгалийн үзэсгэлэнт газар,Нарийн гол,Nariin River,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,48.23501,95.68979,Элсэн дороос эх аван урсдаг Хүнгүй голын эх юм.,"It is the source of the Hunguy River, which rises from under the sand.",https://www.dropbox.com/scl/fi/4ym67urgs2o2tx2q42o2d/.jpg?rlkey=jl4pjkmwa40voj52dinl03ooo&raw=1,나린강,ナリイン川,纳林河,Река Нариин,모래 밑에서 솟아오르는 헝기강(Hunguy River)의 발원지이다.,砂の下から流れ出るハンギー川の源流です。,它是洪吉河的源头，洪吉河从沙子下面涌出。,"Это исток реки Хунгуй, которая поднимается из-под песка."
266,1,Байгалийн үзэсгэлэнт газар,Хүнгүй гол,Khungui River,Завхан,Zavkhan,Ургамал,Urgamal,48.45492,94.49216,"Завхан аймгийн Эрдэнэхайрхан, Завханмандал, Ургамал, Увс аймгийн Завхан сумдын нутгаар урсан Айраг нуурт цутгана. ","It flows through Erdenekhairkhan, Zavkhanmandal, and Urgamal soums of Zavkhan aimag and empties into Lake Airag.",https://www.dropbox.com/scl/fi/7aenpvs3i5bzbsr5at337/.jpg?rlkey=eg6v17fxl25lugw4xsuvq4ovg&raw=1,쿵구이 강,クングイ川,昆圭河,Khungui River,"이 물은 Zavkhan aimag의 Erdenekhairkhan, Zavkhanmandal 및 Urgamal soum을 통과하여 Airag 호수로 흘러 들어갑니다.",この川はザブハン アイマグのエルデネハイルハン、ザブカンマンダル、ウルガマル ソムを流れ、アイラグ湖に注ぎます。,它流经扎夫汗省的额尔登内海尔汗河、扎夫汗曼达尔河和乌尔加马尔苏姆河，注入艾拉格湖。,"Протекает через сомоны Эрдэнехаирхан, Завханмандал и Ургамал Завханского аймака и впадает в озеро Айраг."
267,1,Байгалийн үзэсгэлэнт газар,Завхан гол,Zavkhan River,Завхан,Zavkhan,Отгон,"Otgon, Shiluustei, Aldarkhaan, Durvuljin",47.67928,94.87182,Хангайн нуруунаас эх аван 800 гаруй км урсан Айраг нуурт цутгана.,It originates in the Khangai Mountains and flows for more than 800 km into Lake Airag.,https://www.dropbox.com/scl/fi/k4zptctf3u1k1yjgkbjhq/.jpg?rlkey=yru1ora7kv8wuehgxu5i8ias0&raw=1,자브칸 강,ザブハン川,扎布汗河,Река Завхан,항가이 산맥에서 발원해 아이락 호수까지 800km 이상 흘러갑니다.,ハンガイ山脈に源を発し、800km以上にわたってアイラグ湖に流れ込みます。,它发源于杭爱山脉，流经800多公里注入艾拉格湖。,Берёт начало в Хангайских горах и на протяжении более 800 км впадает в озеро Айраг.
268,1,Байгалийн үзэсгэлэнт газар,Ногоон нуур Завхан,Nogoon Lake Zavkhan,Завхан,Zavkhan,Түдэвтэй,Tudevtei,49.11567,96.54695,Түдэвтэй сумын төвөөс хойд зүгт 15 км зайтай оршино.,It is located 15 km north of the center of Tudevtei soum.,https://www.dropbox.com/scl/fi/xpbo9wn3is4mk4l35sesm/.jpg?rlkey=hf9rxv28zzjhcldqedrhyzk0l&raw=1,노군 호수,ノグーン湖,诺贡湖,Озеро Ногун,Tudevtei soum 중심에서 북쪽으로 15km 떨어져 있습니다.,トゥデフテイ・ソウムの中心部から北に15kmに位置しています。,它位于Tudevtei soum中心以北15公里处。,Он расположен в 15 км к северу от центра сума Тудевтей.
269,1,Байгалийн үзэсгэлэнт газар,Ойгон нуур,Oigon Lake,Завхан,Zavkhan,Түдэвтэй,Tudevtei,49.16171,96.55832,"Далайн түвшнээс дээш 1664 метрийн өндөрт, Түдэвтэй сумын төвөөс хойд зүгт 18 км зайтай оршино.","It is located at an altitude of 1664 meters above sea level, 18 km north of the center of Tudevtei soum.",https://www.dropbox.com/scl/fi/1hy4qgoqo2kudolq35ar4/.jpg?rlkey=68ew5ecvqicgqht0r2vjyhmet&raw=1,오이곤 호수,オイゴン湖,奥伊贡湖,Озеро Ойгон,그것은 Tudevtei soum 중심에서 북쪽으로 18km 떨어진 해발 1664m의 고도에 위치하고 있습니다.,トゥデフテイ・ソウムの中心部から北に18km、海抜1664メートルの高地に位置しています。,它位于海拔1664米，位于图德夫泰苏姆中心以北18公里处。,"Он расположен на высоте 1664 метра над уровнем моря, в 18 км к северу от центра сума Тудевтей."
270,1,Байгалийн үзэсгэлэнт газар,Отгонтэнгэр хайрхан (3905м),Otgontenger Mountain (3905m),Завхан,Zavkhan,"Алдархаан, Отгон","Aldarkhaan, Otgon",47.607,97.551,"Төрийн тахилгат, далайн түвшнээс дээш 3905 метр өргөгдсөн Отгонтэнгэр хайрхан завхан аймгийн Отгон, Алдархаан сумдын нутгийг дамнан оршино. ","Otgontenger, a state monument and located at an altitude of 3,905 meters above sea level, is located across the territories of Otgon and Aldarkhaan soums of Khairkhan Zavkhan aimag.","https://www.dropbox.com/scl/fi/mchob9a9y4e0w80rnsa0b/.jpg?rlkey=42spp0xpoqi32bruag2h0c0xj&raw=1,https://www.dropbox.com/scl/fi/8vpz571v8ffbg9w6m3q6z/1.jpg?rlkey=l8n21txz0bpn89siwssh6wphq&raw=1",옷곤텡게르 산,オットゴンテンゲル山,奥特贡腾格山,Гора Отгонтенгер,"국가 기념물이자 해발 3,905m 높이에 위치한 Otgontenger는 Khairkhan Zavkhan aimag의 Otgon 및 Aldarkhaan soums 영토 건너편에 위치해 있습니다.","国定記念物であるオトゴンテンゲルは、海抜 3,905 メートルの高地にあり、ハイルハン ザブカーン アイマグのオトゴン ソムとアルダルハーン ソムの領土をまたいで位置しています。","奥特贡腾格尔 (Otgontenger) 是一座国家纪念碑，海拔 3,905 米，横跨凯尔汗扎夫汗省的奥特贡苏姆斯和阿尔达尔汗苏姆斯领土。","Государственный памятник Отгонтенгер, расположенный на высоте 3905 метров над уровнем моря, расположен на территории сумов Отгон и Алдархан аймака Хайрхан Завхан."
271,1,Байгалийн үзэсгэлэнт газар,Сэнжит хад,Senjit Rock,Завхан,Zavkhan,Эрдэнэхайрхан,Erdenekhairkhan,48.21876,96.14979,"Улаагчин хар нуураас өмнө зүгт 25.5 км, Эрдэнэхайрхан сумын төвөөс зүүн хойд зүгт 60 км зайтай оршино. ",It is located 25.5 km south of Ulaagchin Black Lake and 60 km northeast of the center of Erdenekhairkhan soum.,https://www.dropbox.com/scl/fi/qi267rhzeae97wostp1o6/.JPG?rlkey=jmm178fnz08anf7f15vmyhe8v&raw=1,센짓 록,センジット ロック,森吉特摇滚,Сенджит Рок,"Ulaagchin Black Lake에서 남쪽으로 25.5km, Erdenekhairkhan soum 중심에서 북동쪽으로 60km 떨어져 있습니다.",ウラーグチン黒湖の南 25.5 km、エルデネハイルカン ソムの中心部の北東 60 km に位置しています。,它位于乌拉金黑湖以南25.5公里处，额尔登内海尔汗苏姆中心东北60公里处。,"Он расположен в 25,5 км к югу от Черного озера Улаагчин и в 60 км к северо-востоку от центра сомона Эрдэнехайрхан."
272,1,Байгалийн үзэсгэлэнт газар,Тахилт нуур,Takhilt Lake,Завхан,Zavkhan,Нөмрөг,Numrug,48.80841,96.81075,Нөмрөг сумын төвөөс баруун өмнө зүгт 12 км зайтай оршино.,It is located 12 km southwest of the center of Nomrug soum.,https://www.dropbox.com/scl/fi/u4r76ze89e47h94xcec0m/.jpg?rlkey=df0hqasf2ohyyq83wboyw1v6p&raw=1,타힐트 호수,タキルト湖,塔克希尔特湖,Озеро Тахилт,Nomrug soum 중심에서 남서쪽으로 12km 떨어져 있습니다.,ノムルグ・ソムの中心部から南西に12kmに位置しています。,它位于Nomrug soum中心西南12公里处。,Расположен в 12 км к юго-западу от центра сума Номруг.
273,1,Байгалийн үзэсгэлэнт газар,Тэлмэн нуур,Telmen Lake,Завхан,Zavkhan,"Нөмрөг, Тэлмэн","Numrug, Telmen",48.83135,97.29711,"Завхан аймгийн Нөмрөг, Тэлмэн сумдын заагт оршдог давстай нуур. Нууранд гурван арал байх ба нүүдлийн шувууд цуглардаг байна.",A salt lake located on the border of Nomrug and Telmen soums in Zavkhan aimag. There are three islands in the lake and migratory birds gather there.,https://www.dropbox.com/scl/fi/w29deml1kkt64fkuiw29v/.jpg?rlkey=qs0g4cyynavzm3q99yh2io3kf&raw=1,텔멘 호수,テルメン湖,泰尔门湖,Озеро Тельмень,Zavkhan aimag의 Nomrug 및 Telmen soums 경계에 위치한 소금 호수입니다. 호수에는 세 개의 섬이 있는데 거기에 철새들이 모여든다.,ザブハン・アイマグのノムルグ・スムスとテルメン・スムスの境界に位置する塩湖。湖には3つの島があり、渡り鳥が集まります。,位于扎夫汗省诺姆鲁格和泰尔门苏姆斯边界的盐湖。湖中有三座岛屿，候鸟聚集于此。,"Соленое озеро, расположенное на границе сумов Номруг и Тельмен в Завханском аймаке. На озере есть три острова и там собираются перелетные птицы."
